ID , Name , CAS , Year , Status , Is_a_Metabolite , Has_a_Metabolite , Route , VD(hour) , Cl(liter/hour) , t1/2(hour) , PPB(percentage) , F(percentage) , Cmax , Cmax_unit , Tmax(hour) , Solubility
481, GUANADREL , 40580-59-4 ,1982, DISCONTINUED ,  ,  , ORAL ,747,162,3.7,,,351, NANOMOLAR ,1.75, 
482, NADOLOL , 42200-33-9 ,1979,  ,  ,  , ORAL ,123.5,11.3,22,86,,,  ,, SOLUBILITY SLIGHTLY SOLUBLE IN WATER
483, CINOXACIN , 28657-80-9 ,1980, DISCONTINUED ,  ,  , ORAL ,,,1.5,,,57, MICROMOLAR ,, 
484, OXAMNIQUINE , 21738-42-1 ,1980, DISCONTINUED ,  ,  , ORAL ,,,2.2,,,992, NANOMOLAR ,1.4, 
485, VALPROIC ACID , 99-66-1 ,1978,  ,  ,  , ORAL INJECTION ,11,0.56,12.5,82,90,563, MICROMOLAR ,3.5, SOLUBILITY SLIGHTLY SOLUBLE IN WATER
486, GUANADREL , 40580-59-4 ,1982, DISCONTINUED ,  ,  , ORAL ,747,162,3.7,,,351, NANOMOLAR ,1.75, 
487, AMCINONIDE , 51022-69-6 ,1979,  ,  ,  , TOPICAL ,,,,,,,  ,, 
488, PIROXICAM , 36322-90-4 ,1982,  ,  ,  , ORAL ,9.1,0.12,50,99,,24, MICROMOLAR ,4, SOLUBILITY SLIGHTLY SOLUBLE IN WATER
489, FLUNISOLIDE , 3385-03-3 ,1981,  ,  ,  , NASAL INHALATION ,260,125,1.5,80,7,7.6, NANOMOLAR ,0.13, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
490, MINOXIDIL , 38304-91-5 ,1979,  ,  ,  1706  , ORAL TOPICAL ,,,4.2,0,90,,  ,1, SOLUBILITY SLIGHTLY SOLUBLE IN WATER
491, TEMAZEPAM , 846-50-4 ,1981,  ,  324  ,  349  1138  , ORAL ,,,8.8,96,92,2.7, MICROMOLAR ,, SOLUBILITY VERY SLIGHTLY SOLUBLE IN WATER
492, OXPRENOLOL , 6452-71-7 ,0, DISCONTINUED ,  ,  , ORAL ,180,120,1.5,,46.5,0.22, MICROMOLAR ,1.5, 
493, AMILORIDE , 2609-46-3 ,1981,  ,  ,  , ORAL ,,,7.5,,,,  ,3.5, 
494, AMINOGLUTETHIMIDE , 125-84-8 ,1980, DISCONTINUED ,  ,  , ORAL ,,,12.5,,100,25.4, MICROMOLAR ,1.5, SOLUBILITY VERY SLIGHTLY SOLUBLE IN WATER
495, TRAZODONE , 19794-93-5 ,1981,  ,  ,  , ORAL ,33.8,5.4,10,92,,3.2, MICROMOLAR ,9, SOLUBILITY FREELY SOLUBLE IN WATER
496, BUMETANIDE , 28395-03-1 ,1983,  ,  ,  , ORAL INJECTION ,10.4,11.3,1.25,95,,28.3, NANOMOLAR ,1.5, 
497, ETOMIDATE , 33125-97-2 ,1982,  ,  ,  , INJECTION ,175.5,50.7,1.25,76,,,  ,, 
498, DIPIVEFRIN , 52365-63-6 ,1980, DISCONTINUED ,  ,  64  , OPHTHALMIC ,,,,,,,  ,, SOLUBILITY FREELY SOLUBLE IN WATER
499, ATENOLOL , 29122-68-7 ,1981,  ,  ,  , ORAL INJECTION ,61,9.75,6.5,11,50,,  ,3, SOLUBILITY 26.5 MILLIGRAM / MILLILITER
500, TOCAINIDE , 41708-72-9 ,1984, DISCONTINUED ,  ,  , ORAL ,117,8.5,15,10,100,31.5, MICROMOLAR ,1.25, SOLUBILITY FREELY SOLUBLE IN WATER
501, ALPRAZOLAM , 28981-97-7 ,1981,  ,  ,  , ORAL ,52,2.88,11.2,80,90,119.9, NANOMOLAR ,1.5, SOLUBILITY NO APPRECIABLE SOLUBILITY IN WATER
502, PINDOLOL , 13523-86-9 ,1982,  ,  ,  , ORAL ,130,30,3.5,40,95,427, NANOMOLAR ,1, SOLUBILITY SOLUBLE IN AQUAEOUS ACIDS
503, TRIFLURIDINE , 70-00-8 ,1980,  ,  ,  , OPHTHALMIC ORAL ,,,,,,,  ,, 
504, CAPTOPRIL , 62571-86-2 ,1981,  ,  ,  , ORAL ,48.7,46.8,2,27,75,,  ,1, SOLUBILITY SOLUBLE IN WATER (160 MILLIGRAM / MILLILITER)
505, VERAPAMIL , 52-53-9 ,1981,  ,  ,  , INJECTION ORAL INTRAVENOUS ,240.5,70.2,5.1,90,13,881, NANOMOLAR ,1.5, SOLUBILITY SOLUBLE IN WATER
506, BUPRENORPHINE , 52485-79-7 ,1981,  ,  ,  , INJECTION SUBLINGUAL TRANSDERMAL BUCCAL IMPLANTATION SUBCUTANEOUS ,430,55,36.5,96,15,10, NANOMOLAR ,1.42, SOLUBILITY SPARINGLY SOLUBLE IN WATER
507, GEMFIBROZIL , 25812-30-0 ,1981,  ,  ,  , ORAL ,11,7.8,1.5,98,100,184, MICROMOLAR ,1.5, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER (IN ACID IS 0.0019 PERCENT)
508, DIFLUNISAL , 22494-42-4 ,1982,  ,  ,  , ORAL ,6.3,0.39,10,99,,496, MICROMOLAR ,2.5, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
509, OXYMETAZOLINE , 1491-59-4 ,1986,  ,  ,  , OPHTHALMIC NASAL TOPICAL ,,,,,,,  ,, 
510, NIFEDIPINE , 21829-25-4 ,1981,  ,  ,  , ORAL ,51.3,31.1,2,95,86,332, NANOMOLAR ,0.5, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
511, ALPROSTADIL , 745-65-3 ,1981,  ,  ,  , INJECTION URETHRAL ,1593,6900,0.16,93,98,47, PICOMOLAR ,0.058, SOLUBILITY SOLUBLE IN WATER
512, VERAPAMIL , 52-53-9 ,1981,  ,  ,  , INJECTION ORAL INTRAVENOUS ,240.5,70.2,5.1,90,13,881, NANOMOLAR ,1.5, SOLUBILITY SOLUBLE IN WATER
513, CHENODIOL , 474-25-9 ,1983,  ,  ,  , ORAL ,,,,,,,  ,, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
514, INDAPAMIDE , 26807-65-8 ,1983,  ,  ,  , ORAL ,,,14,75,100,711.5, NANOMOLAR ,2, SOLUBILITY IS SOLUBLE IN AQUEOUS SOLUTIONS OF STRONG BASES
515, NITROGLYCERIN , 55-63-0 ,1981,  ,  ,  , INJECTION SUBLINGUAL TRANSDERMAL INTRA ,214.5,816,0.046,60,40,4.5, NANOMOLAR ,0.125, 
516, KETOCONAZOLE , 65277-42-1 ,1981,  ,  ,  , ORAL TOPICAL ,,,6.5,99,,6.5, MICROMOLAR ,1.5, SOLUBILITY REQUIRES ACIDITY FOR DISSOLUTION
517, INDAPAMIDE , 26807-65-8 ,1983,  ,  ,  , ORAL ,,,14,75,100,711.5, NANOMOLAR ,2, SOLUBILITY IS SOLUBLE IN AQUEOUS SOLUTIONS OF STRONG BASES
518, CARPROFEN , 53716-49-7 ,1987, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
519, FLUTAMIDE , 13311-84-7 ,1989,  ,  ,  1705  , ORAL ,,,7.8,95,100,282.6, NANOMOLAR ,1.3, 
520, RITODRINE , 26652-09-5 ,1980, DISCONTINUED ,  ,  , ORAL INJECTION ,286,120.9,2.6,36,30,,  ,, 
521, SULFADOXINE , 2447-57-6 ,1981, DISCONTINUED ,  ,  , ORAL ,9.1,0.03,200,90,,,  ,4, 
522, GUANABENZ , 5051-62-7 ,1982,  ,  ,  , ORAL ,,,6,,75,,  ,3.5, SOLUBILITY SPARINGLY SOLUBLE IN WATER
523, DILTIAZEM , 42399-41-7 ,1982,  ,  ,  , ORAL INJECTION ,266,50.7,3.75,75,40,,  ,, SOLUBILITY SOLUBLE IN WATER
524, BUPROPION , 34911-55-2 ,1985,  ,  ,  , ORAL ,1950,209,21,84,,597, NANOMOLAR ,2, SOLUBILITY HIGHLY SOLUBLE IN WATER
525, ACYCLOVIR , 59277-89-3 ,1982,  ,  740  ,  1670  , INJECTION TOPICAL ORAL BUCCAL OPHTHALMIC ,46,19.9,2.5,21,15,107, MICROMOLAR ,, SOLUBILITY 100 MILLIGRAM / MILLILITER IN WATER
526, TIOCONAZOLE , 65899-73-2 ,1983,  ,  ,  , TOPICAL VAGINAL ,,,,,,,  ,, 
527, PENTOXIFYLLINE , 6493-05-6 ,1984,  ,  ,  , ORAL ,117,152,0.6,,,,  ,1, SOLUBILITY SOLUBLE IN WATER
528, BUPROPION , 34911-55-2 ,1985,  ,  ,  , ORAL ,1950,209,21,84,,597, NANOMOLAR ,2, SOLUBILITY HIGHLY SOLUBLE IN WATER
529, MIDAZOLAM , 59467-70-8 ,1985,  ,  ,  , INJECTION ORAL INTRAMUSCULAR NASAL ,133.2,25.6,4.1,97,90,276.5, NANOMOLAR ,0.5, SOLUBILITY INSOLUBLE IN WATER
530, ISOTRETINOIN , 4759-48-2 ,1982,  ,  ,  , ORAL ,,,21,99.9,,2.87, MICROMOLAR ,5.3, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
531, LEVONORGESTREL , 797-63-7 ,1979,  ,  619  ,  , ORAL IMPLANTATION INTRAUTERINE TRANSDERMAL ,172.9,3.4,36.4,97,100,8.9, NANOMOLAR ,1.6, 
532, NICLOSAMIDE , 50-65-7 ,0, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
533, NABILONE , 51022-71-0 ,1985,  ,  ,  , ORAL ,812,281.3,2,,,5.3, NANOMOLAR ,2, SOLUBILITY LESS THAN 0.5 MILLIGRAM / LITER
534, TIOCONAZOLE , 65899-73-2 ,1983,  ,  ,  , TOPICAL VAGINAL ,,,,,,,  ,, 
535, LABETALOL , 36894-69-6 ,1984,  ,  ,  , INJECTION ORAL ,312,128,7,50,25,,  ,1.5, SOLUBILITY SOLUBLE IN WATER
536, PRAZIQUANTEL , 55268-74-1 ,1982,  ,  ,  , ORAL ,,,1.1,80,80,2.6, MICROMOLAR ,2, SOLUBILITY VERY SLIGHTLY SOLUBLE IN WATER
537, RANITIDINE , 66357-35-5 ,1983,  ,  ,  , ORAL INJECTION ,91,45.6,2.75,15,50,1.56, MICROMOLAR ,2.5, SOLUBILITY SOLUBLE IN WATER
538, QUAZEPAM , 36735-22-5 ,1985,  ,  ,  , ORAL ,,,39,95,,51.7, NANOMOLAR ,2, SOLUBILITY INSOLUBLE IN WATER
539, PRAZIQUANTEL , 55268-74-1 ,1982,  ,  ,  , ORAL ,,,1.1,80,80,2.6, MICROMOLAR ,2, SOLUBILITY VERY SLIGHTLY SOLUBLE IN WATER
540, TRILOSTANE , 13647-35-3 ,0, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
541, MILNACIPRAN , 92623-85-3 ,2009,  ,  ,  , ORAL ,400,39.6,7,13,87.5,,  ,3, SOLUBILITY FREELY SOLUBLE IN WATER
542, BUSPIRONE , 36505-84-7 ,1986,  ,  ,  , ORAL ,,,2.5,86,90,15.5, NANOMOLAR ,1, SOLUBILITY SOLUBLE IN WATER
543, SULCONAZOLE , 61318-90-9 ,1985,  ,  ,  , TOPICAL ,,,,,,,  ,, SOLUBILITY VERY SLIGHTLY SOLUBLE IN WATER
544, ANTAZOLINE , 91-75-8 ,1990, DISCONTINUED ,  ,  , OPHTHALMIC ,,,,,,,  ,, 
545, NAPHAZOLINE , 835-31-4 ,1971,  ,  ,  , OPHTHALMIC ,,,,,,,  ,, SOLUBILITY FREELY SOLUBLE IN WATER
546, CICLOPIROX , 29342-05-0 ,1982,  ,  ,  , TOPICAL ,,,1.7,,1.3,386, NANOMOLAR ,, 
547, ACETOHYDROXAMIC ACID , 546-88-3 ,1983,  ,  ,  , ORAL ,,,7.5,,100,,  ,0.625, SOLUBILITY HIGHLY SOLUBLE IN WATER
548, ECONAZOLE , 27220-47-9 ,1982,  ,  ,  , TOPICAL ,,,,,,1, NANOMOLAR ,6.8, 
549, KETOPROFEN , 22071-15-4 ,1986,  ,  ,  , ORAL ,6.5,6.9,3.5,99,90,12.2, MICROMOLAR ,1.25, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
550, FLURBIPROFEN , 5104-49-4 ,1986,  ,  ,  , ORAL OPHTHALMIC ,7.8,1.08,5,99,96,57, MICROMOLAR ,2, SOLUBILITY SLIGHTLY SOLUBLE IN WATER
551, ETOPOSIDE , 33419-42-0 ,1983,  ,  1395  ,  , INJECTION ORAL ,23.5,2.4,7.5,88,,34, MICROMOLAR ,, 
552, VECURONIUM , 50700-72-6 ,1984,  ,  ,  , INJECTION ,22.7,14.6,1.16,70,,,  ,, 
553, FLECAINIDE , 54143-55-4 ,1985,  ,  ,  , ORAL ,366,17.6,12,48,,,  ,, SOLUBILITY 48.4 MILLIGRAM / MILLILITER
554, OXAPROZIN , 21256-18-8 ,1992,  ,  ,  , ORAL ,10.8,0.14,54.9,99,95,,  ,3, SOLUBILITY INSOLUBLE IN WATER
555, RIBAVIRIN , 36791-04-5 ,1985,  ,  ,  , INHALATION ORAL ,2825,38.2,43.6,0,64,3.5, MICROMOLAR ,1.7, SOLUBILITY FREELY SOLUBLE IN WATER
556, NIMODIPINE , 66085-59-4 ,1988,  ,  ,  , ORAL ,66,54,1.5,95,13,,  ,1, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
557, MEXILETINE , 31828-71-4 ,1985,  ,  ,  , ORAL ,360,30,11,55,90,,  ,, SOLUBILITY FREELY SOLUBLE IN WATER
558, ACEBUTOLOL , 37517-30-9 ,1984,  ,  ,  1611  1612  , ORAL ,102,36,3.5,26,40,,  ,2.5, SOLUBILITY FREELY SOLUBLE IN WATER
559, ETODOLAC , 41340-25-4 ,1991,  ,  ,  , ORAL ,23,3,6.4,99,100,128, MICROMOLAR ,1.3, SOLUBILITY INSOLUBLE IN WATER
560, NALTREXONE , 16590-41-3 ,1984,  ,  ,  , ORAL INTRAMUSCULAR ,1350,210,4,21,22,2, NANOMOLAR ,2, SOLUBILITY INSOLUBLE IN WATER
561, FLUOXETINE , 54910-89-3 ,1987,  ,  ,  1609  1610  , ORAL ,1950,,120,94.5,,178, NANOMOLAR ,7, SOLUBILITY 14 MILLIGRAM / MILLILITER
562, LEVOCARNITINE , 541-15-1 ,1985,  ,  ,  , ORAL INJECTION ,100.4,4,17.4,0,15,80, MICROMOLAR ,3.3, SOLUBILITY READILY SOLUBLE IN WATER
563, AMIODARONE , 1951-25-3 ,1985,  ,  ,  , ORAL INJECTION ,3900,21.4,1392,96,50,40, NANOMOLAR ,5, SOLUBILITY SLIGHTLY SOLUBLE IN WATER
564, ENALAPRIL , 75847-73-3 ,1985,  ,  ,  1396  , ORAL ,,,,,60,,  ,, 
565, BEPRIDIL , 64706-54-3 ,1990, DISCONTINUED ,  ,  , ORAL ,,,42,99,,6.8, MICROMOLAR ,, SOLUBILITY SLIGHTLY SOLUBLE IN WATER
566, LEUPROLIDE , 53714-56-0 ,1985,  ,  ,  , INJECTION IMPLANTATION SUBCUTANEOUS INTRAMUSCULAR ORAL ,27,7.6,3,46,,8.6, NANOMOLAR ,4, 
567, GUANFACINE , 29110-47-2 ,1986,  ,  ,  , ORAL ,364,17.5,16,70,,10.1, NANOMOLAR ,3, SOLUBILITY SPARINGLY SOLUBLE IN WATER
568, HYDROMORPHONE , 466-99-9 ,1984,  ,  16  ,  , INJECTION ORAL ,302.9,117.6,2.3,13,,20, NANOMOLAR ,0.73, SOLUBILITY FREELY SOLUBLE IN WATER
569, TERAZOSIN , 63590-64-7 ,1987,  ,  ,  , ORAL ,58,4,12,99,,,  ,1, SOLUBILITY FREELY SOLUBLE IN WATER
570, ESTAZOLAM , 29975-16-4 ,1990,  ,  ,  , ORAL ,,,17,93,,,  ,2, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
571, DEZOCINE , 53648-55-8 ,0, DISCONTINUED ,  ,  , INJECTION ,390,97.5,4,91.6,,2.1, MICROMOLAR ,0.03, 
572, IPRATROPIUM , 60205-81-4 ,1986,  ,  ,  , INHALATION NASAL ,0.43,0.15,2,9,3,, DETECTABLE ,, SOLUBILITY FREELY SOLUBLE IN WATER
573, PROPAFENONE , 54063-53-5 ,1989,  ,  ,  , ORAL ,252,57,21,95,12,,  ,3.5, SOLUBILITY SLIGHTLY SOLUBLE IN WATER
574, METHACHOLINE , 55-92-5 ,1986,  ,  ,  , INHALATION ,,,,,,,  ,, SOLUBILITY SOLUBLE IN WATER
575, TRIENTINE , 112-24-3 ,1985,  ,  ,  , ORAL ,,,,,,,  ,, SOLUBILITY FREELY SOLUBLE IN WATER
576, DICLOFENAC , 15307-86-5 ,1988,  ,  ,  , ORAL OPHTHALMIC TOPICAL INTRAVENOUS ,91,34.9,2.3,99,50,8, MICROMOLAR ,2.3, SOLUBILITY SPARINGLY SOLUBLE IN WATER
577, MISOPROSTOL , 59122-46-2 ,1988,  ,  ,  596  1701  , ORAL ,,,,,,,  ,, SOLUBILITY SOLUBLE IN WATER
578, CARTEOLOL , 51781-06-7 ,1988,  ,  ,  , ORAL OPHTHALMIC ,,,,,,,  ,, SOLUBILITY SOLUBLE IN WATER
579, LEVOBUNOLOL , 47141-42-4 ,1985,  ,  ,  , OPHTHALMIC ,,,,,,,  ,4, 
580, MISOPROSTOL , 59122-46-2 ,1988,  ,  ,  596  1701  , ORAL ,,,,,,,  ,, SOLUBILITY SOLUBLE IN WATER
581, LEVOBETAXOLOL , 63659-18-7 ,1985,  ,  ,  , OPHTHALMIC ORAL ,312,13.26,18,50,89,70.3, NANOMOLAR ,3, SOLUBILITY SOLUBLE IN WATER
582, TRANEXAMIC ACID , 1197-18-8 ,1986,  ,  ,  , ORAL INJECTION INTRAVENOUS ,25.3,6.7,11,3,45,104, MICROMOLAR ,3, SOLUBILITY FREELY SOLUBLE IN WATER
583, MITOXANTRONE , 65271-80-9 ,1987,  ,  ,  , INJECTION ,1610,30.8,53,78,,,  ,, 
584, FENOFIBRATE , 49562-28-9 ,1993,  ,  ,  1486  , ORAL ,,,,,60,,  ,, SOLUBILITY INSOLUBLE IN WATER
585, CLOBETASOL PROPIONATE , 25122-46-7 ,1985,  ,  ,  , TOPICAL ,,,,,,0.12, NANOMOLAR ,, SOLUBILITY INSOLUBLE IN WATER
586, SELEGILINE , 14611-51-9 ,1989,  ,  ,  , ORAL TRANSDERMAL ,123.5,84,2,90,,,  ,, SOLUBILITY FREELY SOLUBLE IN WATER
587, ALFENTANIL , 71195-58-9 ,1986,  ,  ,  , INJECTION ,45.5,19.5,1.6,92,,769, NANOMOLAR ,, 
588, NAFTIFINE , 65472-88-0 ,1988,  ,  ,  , TOPICAL ,,,,,,38.3, NANOMOLAR ,8, 
589, ETHANOLAMINE OLEATE , 3282-75-5 ,1988,  ,  ,  , INJECTION ,,,,,,,  ,, 
590, ETRETINATE , 54350-48-0 ,1986, DISCONTINUED ,  ,  637  , ORAL ,,,,,,,  ,, 
591, NORFLOXACIN , 70458-96-7 ,1986, DISCONTINUED ,  ,  , ORAL OPHTHALMIC ,,,3.5,,35,7.5, MICROMOLAR ,1, SOLUBILITY VERY SLIGHTLY SOLUBLE IN WATER
592, PERGOLIDE , 66104-22-1 ,1988, DISCONTINUED ,  ,  , ORAL ,14000,462,21,90,,,  ,2.5, 
593, ESMOLOL , 81147-92-4 ,1986,  ,  ,  , INJECTION INTRAVENOUS ,78,1300,0.15,55,,,  ,, SOLUBILITY SOLUBLE IN WATER
594, SUPROFEN , 40828-46-4 ,1988, DISCONTINUED ,  ,  , OPHTHALMIC ,2.6,2.96,2.1,99,,,  ,, 
595, PINACIDIL , 60560-33-0 ,1989, DISCONTINUED ,  ,  , ORAL ,91,31.5,2,,57,408, MICROMOLAR ,, 
596, M MISOPROSTOL , 259218-80-9 ,0,  ,  577  580  ,  ,  ,,,0.5,90,,2.2, NANOMOLAR ,0.2, 
597, ISRADIPINE , 75695-93-1 ,1990,  ,  ,  , ORAL ,195,84,8,95,19.5,53.9, NANOMOLAR ,1.5, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
598, PINACIDIL , 60560-33-0 ,1989, DISCONTINUED ,  ,  , ORAL ,91,31.5,2,,57,408, MICROMOLAR ,, 
599, FAMOTIDINE , 76824-35-6 ,1986,  ,  ,  , ORAL INJECTION ,84.5,25.3,2.8,17,45,181, NANOMOLAR ,2, SOLUBILITY VERY SLIGHTLY SOLUBLE IN WATER
600, GLUCONOLACTONE , 90-80-2 ,1990,  ,  ,  , IRRIGATION ,,,,,,,  ,, 
601, NICARDIPINE , 55985-32-5 ,1988,  ,  ,  , ORAL INJECTION INTRAVENOUS ,539,26,4.1,95,35,277, NANOMOLAR ,1, SOLUBILITY SLIGHTLY SOLUBLE IN WATER
602, CLOFAZIMINE , 2030-63-9 ,1986, DISCONTINUED ,  ,  , ORAL ,,,1680,,53,2.1, MICROMOLAR ,10, SOLUBILITY INSOLUBLE IN WATER
603, NIZATIDINE , 76963-41-2 ,1988,  ,  ,  , ORAL ,74.7,50,1.5,35,70,10.8, MICROMOLAR ,1.75, SOLUBILITY SOLUBLE IN WATER
604, CIPROFLOXACIN , 85721-33-1 ,1987,  ,  ,  , ORAL INJECTION OPHTHALMIC OTIC ,156,35,4,30,70,16.3, MICROMOLAR ,1.5, 
605, MOMETASONE , 105102-22-5 ,0,  ,  44  ,  ,  ,,,,,,,  ,, 
606, ISRADIPINE , 75695-93-1 ,1990,  ,  ,  , ORAL ,195,84,8,95,19.5,53.9, NANOMOLAR ,1.5, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
607, LISINOPRIL , 76547-98-3 ,1987,  ,  ,  , ORAL ,57.8,4.6,42,0,25,,  ,7, SOLUBILITY SOLUBLE IN WATER
608, PREDNICARBATE , 73771-04-7 ,1991,  ,  ,  , TOPICAL ,,,,,,,  ,, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
609, MEFLOQUINE , 53230-10-7 ,1989,  ,  ,  , ORAL ,1300,1.8,504,98,85,5.29, MICROMOLAR ,17, SOLUBILITY SLIGHTLY SOLUBLE IN WATER
610, TERCONAZOLE , 67915-31-5 ,1987,  ,  ,  , VAGINAL ,,,6.9,94.9,16,11, NANOMOLAR ,6.6, SOLUBILITY INSOLUBLE IN WATER
611, NABUMETONE , 42924-53-8 ,1991,  ,  ,  1700  , ORAL ,,,,,,,  ,, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
612, URSODIOL , 128-13-2 ,1987,  ,  ,  , ORAL ,,,,70,,,  ,, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
613, KETOROLAC , 74103-06-3 ,1989,  ,  ,  , ORAL INJECTION OPHTHALMIC NASAL IRRIGATION ,13,13.6,2.5,99,100,9.3, MICROMOLAR ,0.75, SOLUBILITY SOLUBLE IN WATER
614, ENOXACIN , 74011-58-8 ,1991, DISCONTINUED ,  ,  , ORAL ,130,21,4.5,40,90,6.2, MICROMOLAR ,2, 
615, PROPOFOL , 2078-54-8 ,1989,  ,  1454  ,  , INJECTION ,305,150,3.2,98,,21.9, MICROMOLAR ,, SOLUBILITY SLIGHTLY SOLUBLE IN WATER
616, LOVASTATIN , 75330-75-5 ,1987,  ,  ,  1699  , ORAL ,,,4.5,95,30,19.3, NANOMOLAR ,2, SOLUBILITY INSOLUBLE IN WATER
617, KETOROLAC , 74103-06-3 ,1989,  ,  ,  , ORAL INJECTION OPHTHALMIC NASAL IRRIGATION ,13,13.6,5,99,100,9.3, MICROMOLAR ,0.75, SOLUBILITY SOLUBLE IN WATER
618, RIMANTADINE , 13392-28-4 ,1993,  ,  ,  , ORAL ,219,3.9,39,40,,510, NANOMOLAR ,, SOLUBILITY SOLUBLE IN WATER (50 MILLIGRAM / MILLILITER)
619, NORGESTIMATE , 35189-28-7 ,1989,  ,  ,  380  1423  531  , ORAL ,,,,,,,  ,, 
620, ZIDOVUDINE , 30516-87-1 ,1987,  ,  ,  , ORAL INJECTION ,104,104,1.75,38,60,,  ,1, SOLUBILITY OF 20.1 MILLIGRAM / MILLILITER IN WATER AT 25 DEGREE C
621, LORATADINE , 79794-75-5 ,1993,  ,  ,  865  , ORAL ,,,8.4,98,,10, NANOMOLAR ,1.3, SOLUBILITY NOT SOLUBLE IN WATER
622, NEDOCROMIL , 69049-73-6 ,1992,  ,  ,  , INHALATION OPHTHALMIC ,,39.7,0.08,,4,,  ,, 
623, GANCICLOVIR , 82410-32-0 ,1989,  ,  861  882  ,  1645  1646  , INJECTION ORAL IMPLANTATION OPHTHALMIC INTRAVENOUS ,45.7,11.9,3.81,1,,26.7, MICROMOLAR ,2, SOLUBILITY APPROXIMATELY 6 MILLIGRAM / MILLILITER AT 37 DEGREE CELSIUS
624, INDECAINIDE , 74517-78-5 ,1989, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
625, OLSALAZINE , 15722-48-2 ,1990,  ,  ,  1399  , ORAL ,4.5,4.6,0.9,99,2.4,6.2, MICROMOLAR ,1, SOLUBILITY SOLUBLE IN WATER
626, OFLOXACIN , 82419-36-1 ,1990,  ,  ,  , ORAL OPHTHALMIC INJECTION OTIC ,104,9.7,4.5,32,98,8, MICROMOLAR ,1.5, SOLUBILITY SLIGHTLY SOLUBLE IN AQUEOUS SOLUTIONS WITH PH 7
627, MORICIZINE , 31883-05-3 ,1990, DISCONTINUED ,  ,  , ORAL ,300,150,1.9,93.5,36,2.3, MICROMOLAR ,0.8, 
628, CLOZAPINE , 5786-21-0 ,1989,  ,  ,  , ORAL ,104,9.7,8,97,,977, NANOMOLAR ,2.5, SOLUBILITY VERY SLIGHTLY SOLUBLE IN WATER
629, IFOSFAMIDE , 3778-73-2 ,1987,  ,  ,  , INJECTION INTRAVENOUS ,40.3,4.2,6.6,0,,,  ,, SOLUBILITY SOLUBLE IN WATER
630, MESNA , 19767-45-4 ,1987,  ,  ,  1698  , INJECTION INTRAVENOUS ORAL ,42.3,79.9,0.36,,58,,  ,2.25, 
631, SIMVASTATIN , 79902-63-9 ,1991,  ,  ,  1697  , ORAL ,,,4.5,95,5,,  ,4, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
632, APRACLONIDINE , 66711-21-5 ,1987,  ,  ,  , OPHTHALMIC ,,,8,,,3.6, NANOMOLAR ,2, SOLUBILITY HIGHLY SOLUBLE IN WATER
633, AMLODIPINE , 88150-42-9 ,1992,  ,  ,  , ORAL ,1365,27.3,40,93,77,,  ,8, SOLUBILITY SLIGHTLY SOLUBLE IN WATER
634, PODOFILOX , 518-28-5 ,1990,  ,  ,  , TOPICAL ,,,2.7,,,41, NANOMOLAR ,, SOLUBILITY SPARINGLY SOLUBLE IN WATER
635, OMEPRAZOLE , 73590-58-6 ,1989,  ,  ,  , ORAL INTRAVENOUS ,16,33,0.75,95,35,4.09, MICROMOLAR ,2, SOLUBILITY VERY SLIGHTLY SOLUBLE IN WATER
636, MIDODRINE , 42794-76-3 ,1996,  ,  ,  176  360  , ORAL ,,,0.4,0,100,,  ,0.5, SOLUBILITY SOLUBLE IN WATER
637, ACITRETIN , 55079-83-9 ,1996,  ,  590  ,  , ORAL ,,,49,99.9,72,1.27, MICROMOLAR ,2.7, 
638, OXICONAZOLE , 64211-45-6 ,1988,  ,  ,  , TOPICAL ,,,,,,,  ,, SOLUBILITY VERY SLIGHTLY SOLUBLE IN WATER
639, FELODIPINE , 72509-76-3 ,1991,  ,  ,  , ORAL ,650,48,14,99,20,2, NANOMOLAR ,4.5, SOLUBILITY INSOLUBLE IN WATER
640, CETIRIZINE , 83881-52-1 ,1995,  ,  ,  , ORAL OPHTHALMIC ,26,2.4,8,91,,0.79, MICROMOLAR ,2.2, SOLUBILITY VERY SOLUBLE IN WATER
641, SERTRALINE , 79617-96-2 ,1991,  ,  ,  , ORAL ,,,26,98,,464, NANOMOLAR ,6.4, SOLUBILITY SLIGHTLY SOLUBLE IN WATER
