sort code,Generic Name,Brand Name,MOA/Target,"MW (free base/acid, no hydrate)",Dose,Dose Unit,Route,infusion,dose schedule,Cmax (uM),Cmax (mol/liter),Cmax (g/l),Cmax (ng/ml),Cmax (mg/l),Cmax (raw units),Tmax   hr,T1/2        hr,AUC  (raw units),AUC   (ng•hr/ml),Cl,Vd,Protein binding,"Css, ave",Initial U.S. approval,Reference,pubmed link,Reference URL,Drug Product Label URL,Cancer Indication,Notes,unit list,route list
41,Cyclophosphamide  ,Cytoxan,Alkylating/DNA damage,261,600,mg/m2,IV,bolus,-,128,1.28E-04,0.033408,33408,33,128 uM,-,12-Mar,51955 umol•min/L,226082,78 ml/min,-,20%,,1959,"Cancer Chemother Pharmacol 1994, 33(6): 472",http://www.ncbi.nlm.nih.gov/pubmed/8137456,http://link.springer.com/article/10.1007/BF00686503,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Cyclophosphamide,"Lymphoma: Malignant lymphomas (Hodgkin’s disease, lymphocytic lymphoma (nodular or diffuse), mixed-cell type lymphoma, histiocytic lymphoma, Burkitt’s lymphoma);  Multiple myeloma;  Leukemias: Chronic lymphocytic leukemia, chronic granulocytic leukemia, acute myelogenous and monocytic leukemia, acute lymphoblastic (stem-cell) leukemia in children;  Mycosis fungoides (advanced disease);  Neuroblastoma (disseminated disease);  Adenocarcinoma of the ovary;  Retinoblastoma;  Carcinoma of the breast.",,,
42,Cytarabine,Cytosar-U,Nucleoside/Antimetab: DNA Polymerase inhibitor,243,3000,mg/m2,IV,3 h,-,54.4,5.44E-05,0.01329,13219,13.2,54.4 uM,-,3.82,160.2 umol•h/L,38928,1258 ml/min/m2,0.702 L/kg,13%,,1969,"Leukemia & Lymphoma (1997), 27: 321-327",https://www.ncbi.nlm.nih.gov/pubmed/9402329,http://dx.doi.org/10.3109/10428199709059686,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Cytarabine,Leukemia: acute non-lymphocytic leukemia;  acute lymphocytic leukemia and the blast phase of chronic myelocytic leukemia;  meningeal leukemia," Multiple doses and infusion times are used; Single high dose shown here.  Label suggests 100-200 mg/m2/day by constant infusion, targeted Css with constant infusion is 20-35 uM",,
43,Dabrafenib,Tafinlar,"Kinase inhibitor (Ser/Thr): BRAF V600E,K,D mutants",520,150,mg,PO,-,BID,4.86,4.86E-06,0.002527,2527,2.5,2527 ng/ml,2,4.8,10751 ng•hr/ml,10751,14.0 L/hr,45.5 L,99.70%,,2013,Journal of Clinical Pharmacology 53(9) 955–961 (2013),http://www.ncbi.nlm.nih.gov/pubmed/23846776,http://onlinelibrary.wiley.com/doi/10.1002/jcph.127/abstract,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Dabrafenib,"Melanoma:  BRAF V600E or V600K Mutation-Positive, Unresectable or Metastatic",approved for BRAF V600E mutant melanoma,,
44,Dacarbazine  ,DTIC-Dome ,Alkylating/DNA damage,182,200,mg/m2,IV,30 min,-,34.4,3.44E-05,0.00627,6270,6.3,6.27 ug/ml,-,5,4.86 mg•hr/L,4860,91.4 L/h,-,<5%,0.000202292,1975,"Anti-Cancer Drugs 2004, 15(5): 495 and Drug Product Label",http://www.ncbi.nlm.nih.gov/pubmed/15166624,http://ovidsp.tx.ovid.com/sp-3.18.0b/ovidweb.cgi?&S=GJMAFPAIFADDDDIJNCJKKHMCHHJIAA00&Link+Set=S.sh.22.23.27.31%7c11%7csl_10,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Dacarbazine,Melanoma: malignant (metastatic); Hodgkin's disease,"enzymatically converted to MTIC via Cyp1A2, 2E1, 1A1",,
45,Dactinomycin,Cosmegen,DNA binding/RNA polymerase inhibitor,1255,0.70- 1.50,mg/m2,IV,bolus,-,0.02,2.00E-08,0.0000251,25,0.025,25.1 ng/ml,0.25,14-43,2.67 mg•min/L,44.5,68-203 ml/min/m2,-,5%,7.42E-06,1964,Clin Cancer Res. 2005 Aug 15;11(16):5893-9.,http://www.ncbi.nlm.nih.gov/pubmed/16115931,http://clincancerres.aacrjournals.org/content/11/16/5893.long,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Dactinomycin,"Wilms’ tumor, childhood rhabdomyosarcoma, Ewing’s sarcoma and metastatic, nonseminomatous testicular cancer,  gestational trophoblastic neoplasia;   locally recurrent or locoregional solid malignancies.",,,
46,Dasatinib  ,Sprycel ,Kinase inhibitor (Tyrosine):  Multi-Kinases Including Bcr-Abl & Src,488,100,mg,PO,-,qd,0.264,2.64E-07,0.000129,129,0.13,129 ng/ml,2,6.2,478 ng•hr/ml,478,-,2505 L,96%,,2006,Clin Cancer Res. 2012;18:5489-98,http://www.ncbi.nlm.nih.gov/pubmed/22837181,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3463759/,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Dasatinib,"Leukemia: Chronic Myeloid Leukemia:  newly diagnosed Philadelphia chromosome-positive (Ph+) CML in chronic phase;  chronic, accelerated, or myeloid or lymphoid blast phase Ph+ CML with resistance or intolerance to prior therapy including imatinib;  Acute Lymphoblastic Leukemia (Ph+ ALL) with resistance or intolerance to prior therapy",,,
47,Daunorubicin,Daunoxome ,Topo II /DNA intercalating,564,50,mg/m2,IV,1 h,-,0.31,3.10E-07,0.00017,175,0.17,0.31 umol/L,-,11,1.02 umol•hr/L,575,0.21 umol/h,-,97%,,1987,Ther Drug Monit 2007;29:626–631,http://www.ncbi.nlm.nih.gov/pubmed/17898654,http://journals.lww.com/drug-monitoring/pages/articleviewer.aspx?year=2007&issue=10000&article=00012&type=abstract,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Daunorubicin,"Leukemia: Acute Nonlymphocytic Leukemia (myelogenous, monocytic, erythroid) of adults ;  Acute Lymphocytic Leukemia of children and adults",data are for standard formulation; liposomal formulation yields 100X higher exposure,,
48,Decitabine  ,Dacogen ,Nucleoside/Antimetab: DNA Methyltransferase (DNMT) Inhibitor;  demethylating agent,228,15,mg/m2,IV, 3 h,TID X3d,0.323,3.23E-07,0.0000738,74,0.074,73.8 ng/ml,2.5,0.62,163 ng•hr/ml,163,125 L/h.m2,71.8 L/m2,<1%,,2006,"Drug Product Label and Cancer Chemother Pharmacol 2008, 61(5): 759-766",http://www.ncbi.nlm.nih.gov/pubmed/17564707,http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/021790s018lbl.pdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Decitabine,"Myelodysplastic Syndromes (MDS):  all French-American-British subtypes (refractory anemia, refractory anemia with ringed sideroblasts, refractory anemia with excess blasts, refractory anemia with excess blasts in transformation, and chronic myelomonocytic leukemia).",,,
49,Degarelix,Firmagon,GnRH antagonist,1632,240,mg,SC,-,-,0.016,1.61E-08,0.0000262,26,0.026,26.2 ng/mL,48,-,1054 ng•day/ml,25296,-,-,90%,,2008,Drug Product Label,n/a,http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/022201s009lbl.pdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Degarelix,Prostate ,"Forms a depot upon subcutaneous administration, from which degarelix is released to the circulation.",,
50,Dexrazoxane   ,Zinecard  ,Chemoprotective: chelator,268,500,mg/m2,IV,15 min,-,136,1.36E-04,0.0365,36500,37,36.5 ug/ml,-,2.5,-,-,7.88 L/h/m2,22.4 L/m2,<2%,,1995,Drug Product Label; see also:  J Clin Pharmacol. 2011 May;51(5):731-8.  ,http://www.ncbi.nlm.nih.gov/pubmed/20484616,http://www.accessdata.fda.gov/drugsatfda_docs/label/2014/020212s017lbl.pdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Dexrazoxane,Breast:  reducing the incidence and severity of cardiomyopathy associated with doxorubicin administration in women with metastatic breast cancer who have received a cumulative doxorubicin dose of 300 mg/m2,Used as cardioprotectant in combination with doxorubicin,,
51,Docetaxel  ,Taxotere ,Tubulin: microtubule stabilizing,808,100,mg/m2,IV,1 h,-,5.47,5.47E-06,0.00442,4420,4.4,4.42 ug/ml,-,41,5.9 ug•hr/ml,5900,35 L/h,477 L,97%,,1996,"Clin Pharmacol Ther 2004, 75(5): 448",http://www.ncbi.nlm.nih.gov/pubmed/15116057,http://onlinelibrary.wiley.com/doi/10.1016/j.clpt.2004.01.001/abstract,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Docetaxel,Breast:  Non-Small Cell Lung Cancer;  Prostate Cancer;  Gastric Adenocarcinoma;  Head and Neck Cancer,,,
52,Doxorubicin   ,Adriamycin ,Topo II /DNA intercalating,544,60,mg/m2,IV,5 min,-,6.73,6.73E-06,0.00366,3660,3.7,3.66 ug/ml,-,14.2,1.85 ug•hr/ml,1850,-,762 L/m2,75%,,1974,"Anti-Cancer Drugs 1999, 10(8): 719",http://www.ncbi.nlm.nih.gov/pubmed/10573204,http://ovidsp.tx.ovid.com/sp-3.18.0b/ovidweb.cgi?WebLinkFrameset=1&S=FOANFPMHDKDDDDDMNCJKAFOBHBBIAA00&returnUrl=ovidweb.cgi%3fMain%2bSearch%2bPage%3d1%26S%3dFOANFPMHDKDDDDDMNCJKAFOBHBBIAA00&directlink=http%3a%2f%2fgraphics.tx.ovid.com%2fovftpdfs%2fFPDDNCO,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Doxorubicin,"Breast: adjuvant of multi-agent chemotherapy;  Acute Lymphoblastic Leukemia;  Acute Myeloblastic Leukemia;  Hodgkin lymphoma;  non-Hodgkin lymphoma (NHL);  Metastatic: breast cancer, Wilms' tumor, neuroblastoma, soft tissue sarcoma, bone sarcoma,  ovarian carcinoma, transitional cell bladder carcinoma, thyroid carcinoma,  gastric carcinoma, bronchogenic carcinoma",,,
53,Doxorubicin  (liposomal),Doxil,Topo II /DNA intercalating,544,20,mg/m2,IV,30 min,q 3 wk,15.34,1.53E-05,0.00834,8340,8.3,8.34 ug/ml,-,55,590 ug•hr/ml,590000,0.041 L/h/m2,2.72 L/m2,70%,,1995,Drug Product Label,,http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/050718s048lbl.pdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Doxil,Ovarian; Multiple Myeloma; AIDS-related Kaposi's Sarcoma,recommended dose for ovarian cancer is 50 mg/m2 IV q 4 wk,,
54,Dutasteride,Avodart,Steroid metabolism: 5-Alpha Reductase Inhibitor,529,0.5,mg,PO,-,qd,0.076,7.57E-08,0.00004,40,0.04,40 ng/ml,3-Feb,840,-,-,-,300-500 L,99%,,2001,Drug Product Label,n/a,http://www.accessdata.fda.gov/drugsatfda_docs/label/2013/021319s028s029lbl.pdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Avodart,not approved for cancer indications.  Prostate: benign prostatic hyperplasia ,not approved for cancer indications: Approved for BPH. Cmax is given as steady state concentration.  Dutasteride is highly bound to plasma albumin (99.0%) and alpha-1 acid glycoprotein (96.6%).,,
55,Enzalutamide,Xtandi,Androgen Receptor Antagonist,464,160,mg,PO,-,qd,35.7,3.57E-05,0.0166,16600,17,16.6 ug/ml,1,5.8,-,-,0.56 L/h,110 L,98%,,2012,Drug Product Label,n/a,http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/203415s007lbl.pdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Enzalutamide,Prostate:  metastatic castration-resistant prostate cancer who have previously received docetaxel,"Active metabolite (CYP2C8, 3A4) is N-desmethyl enzalutamide, Cmax is 12.7 ug/ml.  previously named MDV 3100",,
56,Epirubicin   ,Ellence ,Topo II,544,120,mg/m2,IV,10 min,-,16.6,1.66E-05,0.009,9000,9,9.0 ug/ml,-,33.7,3.4 ug•hr/ml,3400,65 L/h,23 L/kg,77%,,1999,Drug Product Label,n/a,http://www.accessdata.fda.gov/drugsatfda_docs/label/2014/050778s021lbl.pdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Epirubicin,Breast: as a component of adjuvant therapy in patients with evidence of axillary node tumor involvement following resection of primary breast cancer,,,
57,Eribulin Mesylate  ,Halaven ,Tubulin: inhibition,730,1.4,mg/m2,IV,2-5 min,-,0.508,5.08E-07,0.000371,371,0.37,371 ng/ml,0.17,40.4,757 ng•hr/ml,757,3.41 L/h,134 L,49-65%,,2010,"Br J Clin Pharmacol 2013, 75:507-515",http://www.ncbi.nlm.nih.gov/pubmed/22803519,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2125.2012.04381.x/abstract,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Eribulin,Breast: metastatic breast cancer who have previously received at least two chemotherapeutic regimens for the treatment of metastatic disease,,,
58,Erlotinib   ,Tarceva ,Kinase inhibitor (Tyrosine): EGFR,393,150,mg,PO,-,qd,3.15,3.15E-06,0.001238,1238,1.2,1.238 ug/ml,5.5,24.4,18.6 ug•hr/L,18.6,6.33 L/h,136 L,93%,,2004,"J Clin Oncol 2001, 19(13): 3267-3279; and  Drug Product Label ",http://www.ncbi.nlm.nih.gov/pubmed/11432895,http://jco.ascopubs.org/content/19/13/3267.long,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Erlotinib,Lung (NSCLC): Non-Small Cell Lung Cancer;  Pancreatic Cancer,,,
59,Estramustine phosphate,Emcyt,Alkylating/DNA damage; Tubulin  inhibitor ,520,2000,mg/m2,IV,60 min,qw,797,7.97E-04,0.41,414700,415,797 umol/L,-,2.5,1710 umol•hr/L,889884,4.6 L/h,10.3 L,-,,1980,"J Clin Oncol 2002, 20(4): 1115",http://www.ncbi.nlm.nih.gov/pubmed/11844837,http://jco.ascopubs.org/content/20/4/1115.long,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Estramustine,Prostate:  metastatic and/or progressive carcinoma of the prostate,prodrug for estramustine;  Data are for recommended Phase II dose.  Label recommends 14 mg/kg PO.,,
62,Etoposide  ,VePesid ,Topo II /DNA binding,589,100,mg/m2,IV,60 min,-,33.4,3.34E-05,0.01966,19660,20,19.7 mg/L,-,3.62,29.8 ug•hr/ml,29800,5.37 L/h,29.8 L,97%,,1983,"Anti-Cancer Drugs 1999, 10(4): 361",http://www.ncbi.nlm.nih.gov/pubmed/10378670,http://ovidsp.ovid.com/ovidweb.cgi?T=JS&PAGE=linkout&SEARCH=10378670.ui,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Etoposide,Lung: Small Cell Lung Cancer;  Refractory Testicular Tumors,Patients received etoposide in combination with cisplatin and Ro 40-8757,,
63,Everolimus  ,Afinitor ,"Immunomodulator: FKBP-12 binding, mTOR inhibitor",958,10,mg,PO,-,qd,0.064,6.37E-08,0.000061,61,0.061,61 ng/ml,1,-,514 ng•hr/ml,514,-,-,74%,,2009,"Eur J Cancer 2008, 44(1): 84",http://www.ncbi.nlm.nih.gov/pubmed/18039566,http://www.sciencedirect.com/science/article/pii/S0959804907007939,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Everolimus,"Breast:  Advanced Hormone Receptor-Positive, HER2-Negative Breast Cancer;  Advanced Neuroendocrine Tumors of Pancreatic Origin (PNET);  Advanced Renal Cell Carcinoma (RCC);  Renal Angiomyolipoma with Tuberous Sclerosis Complex (TSC);  Subependymal Giant Cell Astrocytoma (SEGA) with Tuberous Sclerosis Complex (TSC);   Neuroendocrine Tumors of Lung Origin",,,
64,Exemestane  ,Aromasin ,Steroid metabolism: Aromatase Inhibitor,296,25,mg,PO,-, q.d.,0.027,2.67E-08,0.0000079,7.9,0.0079,7.9 ng/ml,1.2-2.9,24,52 ng•hr/ml,52,-,-,90%,,1999,"Breast Cancer Res Treat 2008, 111(2): 377-388 and Drug Product Label",http://www.ncbi.nlm.nih.gov/pubmed/17952589,http://link.springer.com/article/10.1007%2Fs10549-007-9787-1,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Exemestane,Breast:  adjuvant treatment of postmenopausal women with estrogen-receptor positive early breast cancer who have received two to three years of tamoxifen;   Advanced Breast Cancer,Data are following 2 weeks of repeated daily dosing,,
65,Finasteride,Proscar,Steroid metabolism: 5-Alpha Reductase Inhibitor,373,5,mg,PO,-,qd,0.124,1.24E-07,0.0000462,46,0.046,46.2 ng/ml,1.8,6,389 ng•hr/ml,389,165 mL/min,76 L,90%,,1992,Drug Product Label,n/a,http://www.accessdata.fda.gov/drugsatfda_docs/label/2014/020180s044lbl.pdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Finasteride,not approved for cancer indications;  Prostate: benign prostatic hyperplasia ,not approved for cancer indications: Approved for BPH,,
66,Floxuridine,FUDR,Nucleoside/Antimetab: Pyrimidine antagonist,246,30,mg/kg,IV,8 h,-,1.05,1.05E-06,0.000259,259,0.26,258.8 ug/L,-,0.22,81.9 mg•min/L,1365,22.4 L/min,-,-,,1970,"J Clin Pharmacol. 2004, 44(11):1260-72",http://www.ncbi.nlm.nih.gov/pubmed/15496644,http://onlinelibrary.wiley.com/doi/10.1177/0091270004268911/abstract,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Floxuridine,"Gastrointestinal adenocarcinoma metastatic to the liver,",Discontinued.  5-FU prodrug.  Cmax varies widely based on dose and infusion rate.  AUC given as sum of Floxuridine (parent) and 5-FU,,
70,Fluorouracil  (5-FU),Adrucil,Nucleoside/Antimetab: Pyrimidine antagonist,130,400,mg/m2,IV,push,-,426,4.26E-04,0.0554,55400,55,55.4 ug/ml,-,-,11.59 ug•hr/ml,11590,30.64 L/h/m2,-,10%,,1962,"Pharmacol Res 2004, 50(2): 173",http://www.ncbi.nlm.nih.gov/pubmed/15177306,http://www.sciencedirect.com/science/article/pii/S1043661804000246,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Fluorouracil,"Colon: carcinoma of the colon, rectum, breast, stomach and pancreas.",,,
71,Flutamide,Eulexin,Androgen Receptor Antagonist,276,250,mg,PO,-,-,0.409,4.09E-07,0.000113,113,0.11, 113 ng/ml,1.3,7.8,-,-,-,-,94-96%,,1989,Drug Product Label,n/a,http://www.accessdata.fda.gov/drugsatfda_docs/label/2001/18554s23lbl.pdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Flutamide,"Prostate, metastatic carcinoma","PK parameters given are after steady state is reached.  Cmax after single dose is 25.2 ng/ml.  Flutamide is rapidly metabolized to the active metabolite, Hydroxyflutamide, which reaches Cmax of 1629 ng/ml at steady state.",,
72,Fulvestrant  ,Faslodex ,Estrogen Receptor Antagonist,607,500,mg,IM,-,-,0.041,4.14E-08,0.0000251,25,0.025,25.1 ng/ml,-,960,11400 ng•hr/ml,11400,690 ml/min,3-5 L/kg,99%,,2002,Drug Product Label; see also Br J Cancer. 1996 Jul;74(2):300-8.,http://www.ncbi.nlm.nih.gov/pubmed/8688341,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2074590/,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Fulvestrant,Breast:  hormone receptor positive metastatic breast cancer,,,
73,Gefitinib  ,Iressa ,Kinase inhibitor (Tyrosine): EGFR,447,250,mg,PO,-,qd,0.356,3.56E-07,0.000159,159,0.16,159 ng/ml,3,50.5,5115 ng•hr/ml,5115,514 ml/min,1400 L,90%,,2003,Clin Pharmacokinet 2005; 44 (11): 1165-1177,http://www.ncbi.nlm.nih.gov/pubmed/16231967,http://link.springer.com/article/10.2165%2F00003088-200544110-00004,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Iressa,Lung (NSCLC): locally advanced or metastatic non-small cell lung cancer after failure of both platinum-based and docetaxel chemotherapies,June 2005: FDA withdrew approval for use in new patients due to lack of evidence that it extended life.,,
74,Gemcitabine   ,Gemzar ,Nucleoside/Antimetab: Pyrimidine antagonist;  DNA synthesis inhibitor,263,1250,mg/m2,IV, 30 min,-,89.3,8.93E-05,0.0235,23500,24,23.5 ug/ml,-,0.23,12.5 ug•hr/ml,12500,3530 ml/min,25.9 L,negligible,,1996,"Cancer Chemother Pharmacol 2005, 55(6): 522",http://www.ncbi.nlm.nih.gov/pubmed/15754203,http://link.springer.com/article/10.1007%2Fs00280-004-0950-7,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Gemcitabine,Ovarian: Breast Cancer;  Non-Small Cell Lung Cancer; Pancreatic Cancer,,,
75,Goserelin acetate,Zoladex,GnRH agonist,1269,10.8,mg,SC,-,-,0.007,6.97E-09,0.00000885,8.9,0.0089,8.85 ng/ml,1.8,-,-,-,121 ml/min,44.1 L,27%,,1989,Drug Product Label,n/a,"http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/019726s059,020578s037lbl.pdf",https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Goserelin,Prostate,Approval in 1996 for 10.8 mg implant; initial approval in 1989 for 3.6 mg dose,,
76,Histrelin acetate,Supprelin,GnRH agonist,1324,0.0567,mg/day,SC,,continuous release over 12 months,0.00083,8.31E-10,0.0000011,1.1,0.0011,1.1 ng/ml,12,-,13.8 ng.wk/ml,2318,-,-,70%,0.265 ng/ml,1991,J Clin Pharmacol. 2005 Nov;45(11):1245-9.,http://www.ncbi.nlm.nih.gov/pubmed/16239357,http://onlinelibrary.wiley.com/doi/10.1177/0091270005281043/abstract,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Histrelin,not approved for cancer indications;  Approved for the treatment of children with central precocious puberty,not approved for cancer indications;  initial approval in 1991 for the treatment of children with central precocious puberty ,,
77,Hydroxychloroquine,Plaquenil,not defined; lysosomotropic agent,336,200,mg,PO,-,-,0.35,3.50E-07,0.0001174,117.4,0.1174,117.4 ng/ml,3.8,564,12015 ng•hr/ml,12015,-,-,45%,,1955,FDA ANDA 40274  Bioequivalence Review,n/a,http://www.accessdata.fda.gov/drugsatfda_docs/anda/98/40-274_Hydroxychloroquine%20Sulfate_Bioeqr.pdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Hydroxychloroquine,"not approved for cancer indications; indicated for malaria.  Also indicated for the treatment of discoid and systemic lupus erythematosus, and rheumatoid arthritis.",not approved for cancer indications.  Cmax and PK parameters given for whole blood,,
78,Hydroxyurea,Droxia,Nucleoside/Antimetab: Ribonucleoside-Diphosphate Reductase Inhibitor,76,2000,mg,PO,-,qd,795,7.94E-04,0.06,60441,60,794.75 umol/L,1.2,3.32,3934 umol•hr/L,299181,124.83 ml/min,19.65 L/m2,-,,1967,"Blood 1998, 91(5): 1533",http://www.ncbi.nlm.nih.gov/pubmed/9473217,http://www.bloodjournal.org/content/91/5/1533.long?sso-checked=true,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Hydroxyurea,"Melanoma, resistant Chronic Myelocytic Leukemia, and recurrent, metastatic, or inoperable Carcinoma of the Ovary,  Head and Neck primary squamous cell (epidermoid) carcinomas","see also:  J Clin Oncol 2005, 23(36): 9359",,
79,Ibandronate,Boniva,Osteoclast inhibitor,319,6,mg,IV, 30 min,-,1.02,1.02E-06,0.000327,327,0.33,327 ng/ml,0.63,12,56.5 ug•min/ml,942,141 ml/min,> 90 L,86%,,2003,"J Clin Pharmacol 2007, 47(8): 942",http://www.ncbi.nlm.nih.gov/pubmed/17615253,http://onlinelibrary.wiley.com/doi/10.1177/0091270007301801/abstract,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Ibandronate,not approved for cancer indications;  Postmenopausal Osteoporosis,not approved for cancer indications;  approved for the treatment of osteoporosis in postmenopausal women,,
80,Ibrutinib,Imbruvica,Kinase inhibitor (Tyrosine): Btk (irreversible),441,560,mg,PO,-,q.d.,0.277,2.77E-07,0.000122,122,0.12,122 ng/ml,2,9.2,1263 ng•hr/ml,1263,1000 L/h,10000 L,98%,,2013,FDA NDA 205552: Clinical Pharmacology and Biopharmaceutics Review,n/a,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2013/205552Orig1s000ClinPharmR.pdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Ibrutinib,Lymphoma: Mantle Cell Lymphoma;  Chronic Lymphocytic Leukemia;  Chronic Lymphocytic Leukemia with 17p deletion; Waldenstrom’s macroglobulinemia (WM),PK data from multi-dose study #1104-CA,,
81,Idarubicin,Idamycin,Topo II /DNA binding,498,15,mg/m2,IV,5 min,-,0.123,1.23E-07,0.0000612,61,0.061,61.2 ng/ml,-,21.8,173 ng•hr/ml,173,,-,97%,,1990,Cancer Chemother Pharmacol. 2004 Jan;53(1):61-7,http://www.ncbi.nlm.nih.gov/pubmed/12955471,http://link.springer.com/article/10.1007%2Fs00280-003-0700-2,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Idarubicin,Leukemia: acute myeloid leukemia (AML) in adults. This includes French-American-British (FAB) classifications M1 through M7,"Idarubicinol (active metabolite) Cmax= 10.4 ng/ml (20.8 nM), T1/2= 47 hr, AUC= 747 ng.hr/ml",,
82,Idelalisib ,Zydelig ,Kinase inhibitor: PI3K delta,415,150,mg,PO,-,BID,5.18,5.18E-06,0.002152,2152,2.2,2152 ng/ml,1.8,5.75,9599 ng•hr/ml,9599,14.9 L/h,23 L,84%,,2014,FDA NDA 206545: Clinical Pharmacology and Biopharmaceutics Review,n/a,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2014/206545Orig1s000ClinPharmR.pdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Idelalisib,Leukemia: Relapsed Chronic Lymphocytic Leukemia;   Relapsed Follicular B-cell non-Hodgkin Lymphoma;   Relapsed Small Lymphocytic Lymphoma,Values for Cl and Vd from Drug Product Label,,
83,Ifosfamide  ,Ifex ,Alkylating/DNA damage,261,3000,mg/m2,IV, 3 h,-,431,4.31E-04,0.11,112534,113,431 uM,-,4.1,9379 umol•h/L,2448857,,-,negligible,,1988,"Cancer Chemother Pharmacol 2007, 60(3): 375",http://www.ncbi.nlm.nih.gov/pubmed/17106751,http://link.springer.com/article/10.1007%2Fs00280-006-0373-8,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Ifosfamide,Testicular  (germ cell),"with 24 h infusion, Cmax is 163 uM.",,
84,Imatinib,Gleevec,"Kinase inhibitor (Tyrosine): BCR-Abl, Kit, PDGFR",494,600,mg,PO,-,-,7.5,7.50E-06,0.0037,3700,3.7,3.7 ug/ml,-,17,48.8 ug•hr/ml,48800,8-14 L/hr,-,95%,,2001,"Clin Cancer Res 2003, 9(16): 5880",http://www.ncbi.nlm.nih.gov/pubmed/14676110,http://clincancerres.aacrjournals.org/content/9/16/5880.long,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Imatinib,Leukemia: Chronic Myeloid Leukemia: Philadelphia Positive (Ph+ CML);  Acute Lymphoblastic Leukemia: Ph+ ALL;  Myelodysplastic/Myeloproliferative Diseases (MDS/MPD): associated with PDGFR gene re-arrangements;  Aggressive Systemic Mastocytosis (ASM);  Hypereosinophilic Syndrome (HES) and/or Chronic Eosinophilic Leukemia (CEL);   Dermatofibrosarcoma Protuberans (DFSP);   Kit+ Gastrointestinal Stromal Tumors (GIST);  Adjuvant Treatment of GIST,,,
