cid,dose,dose_min,dose_max,dose_unit,dose_conf,dose_unit_type,duration,duration_unit,frequency,frequency_unit,rate,rate_unit,volume,volume_unit,lifestage
14656,5.0 mg/kg/day,5,5,mg/kg,high,mass_mass,1,day,1,day,,,,,
16683,> 5 mg/kg/day,5,5,mg/kg,high,mass_mass,,,1,day,,,,,
17243,5 mg/kg/day,5,5,mg/kg,high,mass_mass,1,day,1,day,,,,,
17245,5.0 mg/kg/day,5,5,mg/kg,high,mass_mass,1,day,1,day,,,,,
17527,5 mg/kg/day,5,5,mg/kg,high,mass_mass,1,day,1,day,,,,,
18808,>5 mg/kg/day,5,5,mg/kg,high,mass_mass,,,1,day,,,,,
20076,5 mg/kg/day,5,5,mg/kg,high,mass_mass,1,day,1,day,,,,,
20078,5 mg/kg/day,5,5,mg/kg,high,mass_mass,1,day,1,day,,,,,
20134,>5 mg/kg/day,5,5,mg/kg,high,mass_mass,,,1,day,,,,,
20615,5 mg/kg/day,5,5,mg/kg,high,mass_mass,1,day,1,day,,,,,
22292,5mg/kg/day,5,5,mg/kg,high,mass_mass,,,1,day,,,,,
23342,5mg/kg/day,5,5,mg/kg,high,mass_mass,,,1,day,,,,,
26021,5.0 mg/kg/day,5,5,mg/kg,high,mass_mass,1,day,1,day,,,,,
26897,5 mg/kg/day,5,5,mg/kg,high,mass_mass,1,day,1,day,,,,,
27085,5.0 mg/kg/day,5,5,mg/kg,high,mass_mass,1,day,1,day,,,,,
28118,5 mg/kg/day,5,5,mg/kg,high,mass_mass,1,day,1,day,,,,,
28759,5 mg/kg/day,5,5,mg/kg,high,mass_mass,1,day,1,day,,,,,
30005,5 mg/kg/day,5,5,mg/kg,high,mass_mass,1,day,1,day,,,,,
31624,5 mg/kg/day,5,5,mg/kg,high,mass_mass,1,day,1,day,,,,,
32297,5 mg/kg/day,5,5,mg/kg,high,mass_mass,1,day,1,day,,,,,
32724,5 mg/kg/day,5,5,mg/kg,high,mass_mass,1,day,1,day,,,,,
36139,5 mg/kg/day,5,5,mg/kg,high,mass_mass,1,day,1,day,,,,,
37478,5 mg/kg/day,5,5,mg/kg,high,mass_mass,1,day,1,day,,,,,
37479,5 mg/kg/day,5,5,mg/kg,high,mass_mass,1,day,1,day,,,,,
37683,>5 mg/kg/day,5,5,mg/kg,high,mass_mass,,,1,day,,,,,
37838,5 mg/kg/day,5,5,mg/kg,high,mass_mass,1,day,1,day,,,,,
37935,5 - 25 mg/kg/day,5,5,mg/kg,high,mass_mass,,,1,day,,,,,
37938,5.0 mg/kg/day,5,5,mg/kg,high,mass_mass,1,day,1,day,,,,,
40224,5 mg/kg/day,5,5,mg/kg,high,mass_mass,1,day,1,day,,,,,
42205,> 5 mg/kg/day,5,5,mg/kg,high,mass_mass,,,1,day,,,,,
42765,5 mg/kg/day,5,5,mg/kg,high,mass_mass,1,day,1,day,,,,,
43069,5 mg/kg/day,5,5,mg/kg,high,mass_mass,1,day,1,day,,,,,
43132,5.0 mg/kg/day,5,5,mg/kg,high,mass_mass,1,day,1,day,,,,,
45788,>5 mg/kg/day,5,5,mg/kg,high,mass_mass,,,1,day,,,,,
46239,5.0 mg/kg/day,5,5,mg/kg,high,mass_mass,1,day,1,day,,,,,
47036,5 mg/kg/day,5,5,mg/kg,high,mass_mass,1,day,1,day,,,,,
48103,5 mg/kg/day,5,5,mg/kg,high,mass_mass,1,day,1,day,,,,,
51818,>5 mg/kg/day,5,5,mg/kg,high,mass_mass,,,1,day,,,,,
54279,> 5 mg/kg/day,5,5,mg/kg,high,mass_mass,,,1,day,,,,,
55020,5 mg/kg/day,5,5,mg/kg,high,mass_mass,1,day,1,day,,,,,
55746,05 mg/kg/day,5,5,mg/kg,high,mass_mass,1,day,1,day,,,,,
57078,5 mg/kg/day,5,5,mg/kg,high,mass_mass,1,day,1,day,,,,,
57713,>5 mg/kg/day,5,5,mg/kg,high,mass_mass,,,1,day,,,,,
58303,5.0 mg/kg/day,5,5,mg/kg,high,mass_mass,1,day,1,day,,,,,
58445,5 mg/kg/day,5,5,mg/kg,high,mass_mass,1,day,1,day,,,,,
58942,>5 mg/kg/day,5,5,mg/kg,high,mass_mass,,,1,day,,,,,
59918,5mg/kg/day,5,5,mg/kg,high,mass_mass,,,1,day,,,,,
47932,"5 mg/kg/day (1-15 days), 10 mg/kg/day (16-231 days)",5,5,mg/kg,high,mass_mass,,,1,day,,,,,
20710,5 mg/kg/day (2 divided doses),5,5,mg/kg,high,mass_mass,,,1,day,,,,,
25070,"5 mg/kg/day, 5D",5,5,mg/kg,high,mass_mass,,,1,day,,,,,
28119,"5 mg/kg/day, 7D",5,5,mg/kg,high,mass_mass,,,1,day,,,,,
48375,"5 mg/kg/day, 14D",5,5,mg/kg,high,mass_mass,,,1,day,,,,,
29993,"5 mg/kg/day, ethyl cellulose nanoparticle formulation, 30D",5,5,mg/kg,high,mass_mass,,,1,day,,,,,
55921,"5 mg/kg/day, in 2 daily divided doses",5,5,mg/kg,high,mass_mass,,,1,day,,,,,
44925,"5 mg/kg/day, 0.02% in standard NaCl diet , 12 w",5,5,mg/kg,high,mass_mass,,,1,day,,,,,
27743,"5 mg/kg/day, lactating females",5,5,mg/kg,high,mass_mass,,,1,day,,,,,
26967,"5 mg/kg/day, males, 56D",5,5,mg/kg,high,mass_mass,,,1,day,,,,,
29994,"5 mg/kg/day, polymeric nanoparticle formulation, 30D",5,5,mg/kg,high,mass_mass,,,1,day,,,,,
40504,"5.0 mg/kg/day, surgically castrated immature male, 10 days (postnatal days 60-69)",5,5,mg/kg,high,mass_mass,,,1,day,,,,,
53717,"5 mg/kg/day, 3- to 4-week-old",5,5,mg/kg,high,mass_mass,,,1,day,,,,,
27901,"5 mg/kg/day, treatment on gestational days 16–20, obsevation in postnatal day 5",5,5,mg/kg,high,mass_mass,,,1,day,,,,,
53581,"5 mg/kg/day, 12W",5,5,mg/kg,high,mass_mass,,,1,day,,,,,
59972,"5 mg/kg/day, 9W, pups beginning at postnatal day 4",5,5,mg/kg,high,mass_mass,,,1,day,,,,,
7723,5 mg/kg/day/30D,5,5,mg/kg,high,mass_mass,,,1,day,,,,,
17081,5 mg/kg/day/10D,5,5,mg/kg,high,mass_mass,,,1,day,,,,,
18008,5 mg/kg/day/14D,5,5,mg/kg,high,mass_mass,,,1,day,,,,,
18009,5 mg/kg/day/30D,5,5,mg/kg,high,mass_mass,,,1,day,,,,,
20190,5 mg/kg/day/7D,5,5,mg/kg,high,mass_mass,,,1,day,,,,,
23301,5 mg/kg/day/21D,5,5,mg/kg,high,mass_mass,,,1,day,,,,,
23302,5 mg/kg/day/22D,5,5,mg/kg,high,mass_mass,,,1,day,,,,,
40454,5 mg/kg/day/10D,5,5,mg/kg,high,mass_mass,,,1,day,,,,,
50580,5 mg/kg/day/14D,5,5,mg/kg,high,mass_mass,,,1,day,,,,,
50931,5 mg/kg/day/90D,5,5,mg/kg,high,mass_mass,,,1,day,,,,,
50977,5 mg/kg/day/5D,5,5,mg/kg,high,mass_mass,,,1,day,,,,,
20135,>5 mg/kg/day/6D a W,5,5,mg/kg,high,mass_mass,,,1,day,,,,,
17244,5 mg/kg/day/day,5,5,mg/kg,high,mass_mass,,,1,day,,,,,
48907,5 mg/kg/day/6 days a week,5,5,mg/kg,high,mass_mass,,,1,day,,,,,
16910,5 mg/kg/day/1-9D preg,5,5,mg/kg,high,mass_mass,,,1,day,,,,,
50651,5 mg/kg/day/6-18D preg,5,5,mg/kg,high,mass_mass,,,1,day,,,,,
4635,5 mg/kg/day/3M,5,5,mg/kg,high,mass_mass,,,1,day,,,,,
28120,5 mg/kg/day/2 M,5,5,mg/kg,high,mass_mass,,,1,day,,,,,
32142,5 mg/kg/day/6M,5,5,mg/kg,high,mass_mass,,,1,day,,,,,
28121,5 mg/kg/day/2 months,5,5,mg/kg,high,mass_mass,,,1,day,,,,,
9868,5 mg/kg/day/3W,5,5,mg/kg,high,mass_mass,,,1,day,,,,,
15635,5 mg/kg/day/13W,5,5,mg/kg,high,mass_mass,,,1,day,,,,,
19024,5 mg/kg/day/1W,5,5,mg/kg,high,mass_mass,,,1,day,,,,,
19025,5 mg/kg/day/2W,5,5,mg/kg,high,mass_mass,,,1,day,,,,,
30929,5 mg/kg/day/9W,5,5,mg/kg,high,mass_mass,,,1,day,,,,,
53390,5 mg/kg/day/4W,5,5,mg/kg,high,mass_mass,,,1,day,,,,,
21201,5 mg/kg/day 1 and 22,5,5,mg/kg,high,mass_mass,,,1,day,,,,,
42766,5 mg/kg/day for 4 days/4D,5,5,mg/kg,high,mass_mass,,,1,day,,,,,
7722,5 mg/kg/day in two divided doses every 12 hours,5,5,mg/kg,high,mass_mass,,,1,day,,,,,
55823,5 mg/kg/kg/day,5,5,mg/kg,high,mass_mass,,,1,day,,,,,
336,5 mg/kg/once daily,5,5,mg/kg,high,mass_mass,,,1,day,,,,,
17542,5 mg/kg/once daily,5,5,mg/kg,high,mass_mass,,,1,day,,,,,
17590,5 mg/kg/once daily,5,5,mg/kg,high,mass_mass,,,1,day,,,,,
17815,5 mg/kg/once daily,5,5,mg/kg,high,mass_mass,,,1,day,,,,,
24026,> 5 mg/kg/once daily,5,5,mg/kg,high,mass_mass,,,1,day,,,,,
42185,5 mg/kg/once daily,5,5,mg/kg,high,mass_mass,,,1,day,,,,,
43088,5 mg/kg/once daily,5,5,mg/kg,high,mass_mass,,,1,day,,,,,
48825,"5 mg/kg/once daily on day 1, which was then increased every 3-4 day up to 180 mg/kg/once daily",5,5,mg/kg,high,mass_mass,,,1,day,,,,,
48826,"5 mg/kg/once daily on day 1, which was then increased every 3-4 day up to 30 mg/kg/once daily",5,5,mg/kg,high,mass_mass,,,1,day,,,,,
48827,"5 mg/kg/once daily on day 1, which was then increased every 3-4 day up to 40 mg/kg/once daily",5,5,mg/kg,high,mass_mass,,,1,day,,,,,
48828,"5 mg/kg/once daily on day 1, which was then increased every 3-4 day up to 64 mg/kg/once daily",5,5,mg/kg,high,mass_mass,,,1,day,,,,,
29397,"5 mg/kg every 12 hours for 14-21 days, then 5 mg/kg/day or 6 mg/kg once daily for 5 days per week",5,5,mg/kg,high,mass_mass,,,1,day,,,,,
52782,"5 mg/kg once daily for 5 consecutive days, followed by a rest period of 23 days, for 6 treatment cyc",5,5,mg/kg,high,mass_mass,,,1,day,,,,,
49890,5 mg/kg once daily for 35 days/35D,5,5,mg/kg,high,mass_mass,,,1,day,,,,,
40267,5 mg/mice/day (200 mg/kg)/7W,5,5,mg/kg,low,mass_mass,,,1,day,,,,,
53535,5 mg eq/kg/day,5,5,mg/kg,low,mass_mass,,,1,day,,,,,
59538,5 mgkg//day,5,5,mg/kg,low,mass_mass,,,1,day,,,,,
56304,5 mq/kg/day,5,5,mg/kg,low,mass_mass,,,1,day,,,,,
14654,5 mg/kg/day,5,5,mg/kg,high,mass_mass,1,day,1,day,,,,,
46236,5 mg/kg/day,5,5,mg/kg,high,mass_mass,1,day,1,day,,,,,
60019,5 mg/kg/day,5,5,mg/kg,high,mass_mass,1,day,1,day,,,,,
60020,5 mg/kg/day.,5,5,mg/kg,high,mass_mass,,,1,day,,,,,
58693,5 mg/kg/day for 3 times or 10 mg/kg/day 1-2 times,5,5,mg/kg,high,mass_mass,,,1,day,,,,,
33716,5 mg/kg/day,5,5,mg/kg,high,mass_mass,2,day,1,day,,,,,
51212,5.1 mg/kg/day,5.1,5.1,mg/kg,high,mass_mass,1,day,1,day,,,,,
17087,"5.1 mg/kg/day, 6 times/wk/11W",5.1,5.1,mg/kg,high,mass_mass,,,1,day,,,,,
17088,"5.1 mg/kg/day, 6 times/wk/4W male",5.1,5.1,mg/kg,high,mass_mass,,,1,day,,,,,
17089,"5.1 mg/kg/day, 6 times/wk/9W male",5.1,5.1,mg/kg,high,mass_mass,,,1,day,,,,,
17082,"5.1 mg/kg/day, 6 times a week/1W",5.1,5.1,mg/kg,high,mass_mass,,,1,day,,,,,
17083,"5.1 mg/kg/day, 6 times a week/3W",5.1,5.1,mg/kg,high,mass_mass,,,1,day,,,,,
17086,"5.1 mg/kg/day, 6 times a week/9W",5.1,5.1,mg/kg,high,mass_mass,,,1,day,,,,,
17084,"5.1 mg/kg/day, 6 times a week/3W male",5.1,5.1,mg/kg,high,mass_mass,,,1,day,,,,,
17085,"5.1 mg/kg/day, 6 times a week/6W male",5.1,5.1,mg/kg,high,mass_mass,,,1,day,,,,,
25350,5.11 mg/kg/day,5.11,5.11,mg/kg,high,mass_mass,1,day,1,day,,,,,
6434,5.2 mg/kg/day,5.2,5.2,mg/kg,high,mass_mass,1,day,1,day,,,,,
45620,5.25 mg/kg/day,5.25,5.25,mg/kg,high,mass_mass,1,day,1,day,,,,,
17899,5.3 mg/kg/day,5.3,5.3,mg/kg,high,mass_mass,1,day,1,day,,,,,
31380,5.3 mg/kg/day,5.3,5.3,mg/kg,high,mass_mass,1,day,1,day,,,,,
52600,5.3 mg/kg/day,5.3,5.3,mg/kg,high,mass_mass,1,day,1,day,,,,,
1900,5.32 mg/kg/day,5.32,5.32,mg/kg,high,mass_mass,1,day,1,day,,,,,
22959,5.36 mg/kg/day,5.36,5.36,mg/kg,high,mass_mass,1,day,1,day,,,,,
9640,5.4 mg/kg/day,5.4,5.4,mg/kg,high,mass_mass,1,day,1,day,,,,,
31448,5.4 mg/kg/day,5.4,5.4,mg/kg,high,mass_mass,1,day,1,day,,,,,
31449,5.4 mg/kg/day,5.4,5.4,mg/kg,high,mass_mass,1,day,1,day,,,,,
55625,5.4-51.6mg/kg/day,5.4,5.4,mg/kg,high,mass_mass,,,1,day,,,,,
55879,5.4 mg/kg/day,5.4,5.4,mg/kg,high,mass_mass,1,day,1,day,,,,,
25351,5.44 mg/kg/day,5.44,5.44,mg/kg,high,mass_mass,1,day,1,day,,,,,
3319,5.5 mg/kg/day,5.5,5.5,mg/kg,high,mass_mass,1,day,1,day,,,,,
35860,5.5-8 mg/kg/day,5.5,5.5,mg/kg,high,mass_mass,,,1,day,,,,,
36855,5.5 mg/kg/day,5.5,5.5,mg/kg,high,mass_mass,1,day,1,day,,,,,
41588,5.5 mg/kg/day,5.5,5.5,mg/kg,high,mass_mass,1,day,1,day,,,,,
28508,5.52 mg/kg/day,5.52,5.52,mg/kg,high,mass_mass,1,day,1,day,,,,,
27306,5.6 mg/kg/day,5.6,5.6,mg/kg,high,mass_mass,1,day,1,day,,,,,
29845,5.6 mg/kg/day,5.6,5.6,mg/kg,high,mass_mass,1,day,1,day,,,,,
37613,5.6 mg/kg/day,5.6,5.6,mg/kg,high,mass_mass,1,day,1,day,,,,,
48080,5.6 mg/kg/day,5.6,5.6,mg/kg,high,mass_mass,1,day,1,day,,,,,
48081,5.6 mg/kg/day,5.6,5.6,mg/kg,high,mass_mass,1,day,1,day,,,,,
55515,5.6 mg/kg/day,5.6,5.6,mg/kg,high,mass_mass,1,day,1,day,,,,,
57439,5.63 mg/kg/day,5.63,5.63,mg/kg,high,mass_mass,1,day,1,day,,,,,
3832,5.7 mg/kg/day,5.7,5.7,mg/kg,high,mass_mass,1,day,1,day,,,,,
32725,5.8 mg/kg/day,5.8,5.8,mg/kg,high,mass_mass,1,day,1,day,,,,,
57698,5.96 mg/kg/day,5.96,5.96,mg/kg,high,mass_mass,1,day,1,day,,,,,
4791,1-6 mg/kg/day,1,6,mg/kg,high,mass_mass,1,day,1,day,,,,,
22277,1-6 mg/kg/day,1,6,mg/kg,high,mass_mass,1,day,1,day,,,,,
22278,1-6 mg/kg/day,1,6,mg/kg,high,mass_mass,1,day,1,day,,,,,
12241,2-6 mg/kg/day,2,6,mg/kg,high,mass_mass,1,day,1,day,,,,,
59192,2-6 mg/kg/day,2,6,mg/kg,high,mass_mass,1,day,1,day,,,,,
4682,3-6 mg/kg/day,3,6,mg/kg,high,mass_mass,1,day,1,day,,,,,
49494,3-6 mg/kg/day,3,6,mg/kg,high,mass_mass,1,day,1,day,,,,,
12253,4-6 mg/kg/day,4,6,mg/kg,high,mass_mass,1,day,1,day,,,,,
17892,4-6 mg/kg/day,4,6,mg/kg,high,mass_mass,1,day,1,day,,,,,
29411,6-6.5 mg/kg/day,6,6,mg/kg,high,mass_mass,,,1,day,,,,,
46731,6 mg/kg/day,6,6,mg/kg,high,mass_mass,1,day,1,day,,,,,
49114,6 mg/kg/day,6,6,mg/kg,high,mass_mass,1,day,1,day,,,,,
483,6 mg/kg/day,6,6,mg/kg,high,mass_mass,1,day,1,day,,,,,
949,6 mg/kg/day,6,6,mg/kg,high,mass_mass,1,day,1,day,,,,,
1309,6 mg/kg/day,6,6,mg/kg,high,mass_mass,1,day,1,day,,,,,
1310,6 mg/kg/day,6,6,mg/kg,high,mass_mass,1,day,1,day,,,,,
1311,6 mg/kg/day,6,6,mg/kg,high,mass_mass,1,day,1,day,,,,,
1312,6 mg/kg/day,6,6,mg/kg,high,mass_mass,1,day,1,day,,,,,
1313,6 mg/kg/day,6,6,mg/kg,high,mass_mass,1,day,1,day,,,,,
1314,6 mg/kg/day,6,6,mg/kg,high,mass_mass,1,day,1,day,,,,,
1315,6 mg/kg/day,6,6,mg/kg,high,mass_mass,1,day,1,day,,,,,
3479,6 mg/kg/day,6,6,mg/kg,high,mass_mass,1,day,1,day,,,,,
4416,6 mg/kg/day,6,6,mg/kg,high,mass_mass,1,day,1,day,,,,,
4650,6 mg/kg/day,6,6,mg/kg,high,mass_mass,1,day,1,day,,,,,
5155,6 mg/kg/day,6,6,mg/kg,high,mass_mass,1,day,1,day,,,,,
5231,6 mg/kg/day,6,6,mg/kg,high,mass_mass,1,day,1,day,,,,,
8109,6 mg/kg/day,6,6,mg/kg,high,mass_mass,1,day,1,day,,,,,
12507,6 mg/kg/day,6,6,mg/kg,high,mass_mass,1,day,1,day,,,,,
15708,6 mg/kg/day,6,6,mg/kg,high,mass_mass,1,day,1,day,,,,,
16685,> 6 mg/kg/day,6,6,mg/kg,high,mass_mass,,,1,day,,,,,
16744,6 mg/kg/day,6,6,mg/kg,high,mass_mass,1,day,1,day,,,,,
17846,6 mg/kg/day,6,6,mg/kg,high,mass_mass,1,day,1,day,,,,,
17905,6.0 mg/kg/day,6,6,mg/kg,high,mass_mass,1,day,1,day,,,,,
18391,6.0 mg/kg/day,6,6,mg/kg,high,mass_mass,1,day,1,day,,,,,
18857,6 mg/kg/day,6,6,mg/kg,high,mass_mass,1,day,1,day,,,,,
18864,>6 mg/kg/day,6,6,mg/kg,high,mass_mass,,,1,day,,,,,
18865,>6 mg/kg/day,6,6,mg/kg,high,mass_mass,,,1,day,,,,,
19631,6 mg/kg/day,6,6,mg/kg,high,mass_mass,1,day,1,day,,,,,
19878,6 mg/kg/day,6,6,mg/kg,high,mass_mass,1,day,1,day,,,,,
19879,6 mg/kg/day,6,6,mg/kg,high,mass_mass,1,day,1,day,,,,,
20095,6 mg/kg/day,6,6,mg/kg,high,mass_mass,1,day,1,day,,,,,
20529,6 mg/kg/day,6,6,mg/kg,high,mass_mass,1,day,1,day,,,,,
20631,6 mg/kg/day,6,6,mg/kg,high,mass_mass,1,day,1,day,,,,,
23149,6 mg/kg/day,6,6,mg/kg,high,mass_mass,1,day,1,day,,,,,
24829,6 mg/kg/day,6,6,mg/kg,high,mass_mass,1,day,1,day,,,,,
25316,6 mg/kg/day,6,6,mg/kg,high,mass_mass,1,day,1,day,,,,,
29860,6 mg/kg/day,6,6,mg/kg,high,mass_mass,1,day,1,day,,,,,
36230,6.0 mg/kg/day,6,6,mg/kg,high,mass_mass,1,day,1,day,,,,,
36595,6 mg/kg/day,6,6,mg/kg,high,mass_mass,1,day,1,day,,,,,
38912,6mg/kg/day,6,6,mg/kg,high,mass_mass,,,1,day,,,,,
42915,6 mg/kg/day,6,6,mg/kg,high,mass_mass,1,day,1,day,,,,,
45872,6 mg/kg/day,6,6,mg/kg,high,mass_mass,1,day,1,day,,,,,
46941,6 mg/kg/day,6,6,mg/kg,high,mass_mass,1,day,1,day,,,,,
47887,6 mg/kg/day,6,6,mg/kg,high,mass_mass,1,day,1,day,,,,,
49196,6 mg/kg/day,6,6,mg/kg,high,mass_mass,1,day,1,day,,,,,
49584,6 mg/kg/day,6,6,mg/kg,high,mass_mass,1,day,1,day,,,,,
52352,6 mg/kg/day,6,6,mg/kg,high,mass_mass,1,day,1,day,,,,,
52742,6 mg/kg/day,6,6,mg/kg,high,mass_mass,1,day,1,day,,,,,
53720,6 mg/kg/day,6,6,mg/kg,high,mass_mass,1,day,1,day,,,,,
59754,>6 mg/kg/day,6,6,mg/kg,high,mass_mass,,,1,day,,,,,
60273,6 mg/kg/day,6,6,mg/kg,high,mass_mass,1,day,1,day,,,,,
45624,"6 mg/kg/day, 5D",6,6,mg/kg,high,mass_mass,,,1,day,,,,,
43535,"6 mg/kg/day, female at gestation day 1-22",6,6,mg/kg,high,mass_mass,,,1,day,,,,,
43536,"6 mg/kg/day, pregnant, 28 days, fron pregnant day 4 until 10 days after delivery",6,6,mg/kg,high,mass_mass,,,1,day,,,,,
15199,"6 mg/kg/day, 4W",6,6,mg/kg,high,mass_mass,,,1,day,,,,,
15200,"6 mg/kg/day, 8W",6,6,mg/kg,high,mass_mass,,,1,day,,,,,
38483,"6 mg/kg/day, 4W",6,6,mg/kg,high,mass_mass,,,1,day,,,,,
53442,"6 mg/kg/day, 4W",6,6,mg/kg,high,mass_mass,,,1,day,,,,,
55116,6 mg/kg/day/28D/every 35D,6,6,mg/kg,high,mass_mass,,,1,day,,,,,
55117,6 mg/kg/day/28D/every 35D,6,6,mg/kg,high,mass_mass,,,1,day,,,,,
55118,6 mg/kg/day/28D/every 42D,6,6,mg/kg,high,mass_mass,,,1,day,,,,,
53587,6 mg/kg/day/day,6,6,mg/kg,high,mass_mass,,,1,day,,,,,
43537,6 mg/kg/day/4-20D preg,6,6,mg/kg,high,mass_mass,,,1,day,,,,,
20401,6 mg/kg/day/6W,6,6,mg/kg,high,mass_mass,,,1,day,,,,,
54478,6 mg/kg/day/13W,6,6,mg/kg,high,mass_mass,,,1,day,,,,,
32900,6 mg/kg/day for 4 days/4D,6,6,mg/kg,high,mass_mass,,,1,day,,,,,
12207,"6 mg/kg/days 1-5, 8-12, and 15-19",6,6,mg/kg,high,mass_mass,,,1,day,,,,,
54555,6 mg/kg/dayX 28,6,6,mg/kg,high,mass_mass,,,1,day,,,,,
22641,6 mg/kg/once daily,6,6,mg/kg,high,mass_mass,,,1,day,,,,,
43089,6 mg/kg/once daily,6,6,mg/kg,high,mass_mass,,,1,day,,,,,
43090,6 mg/kg/once daily,6,6,mg/kg,high,mass_mass,,,1,day,,,,,
59894,6 mg/kg/once daily,6,6,mg/kg,high,mass_mass,,,1,day,,,,,
38480,"6 mg Mn/kg/day, 30D",6,6,mg/kg,low,mass_mass,,,1,day,,,,,
38481,"6 mg Mn/kg/day, 90D",6,6,mg/kg,low,mass_mass,,,1,day,,,,,
22050,"6 mg/kg/day, from E7 , 2D",6,6,mg/kg,high,mass_mass,,,1,day,,,,,
49198,6.1 mg/kg/day,6.1,6.1,mg/kg,high,mass_mass,1,day,1,day,,,,,
41132,6.14 mg/kg/day,6.14,6.14,mg/kg,high,mass_mass,1,day,1,day,,,,,
41133,6.14 mg/kg/day,6.14,6.14,mg/kg,high,mass_mass,1,day,1,day,,,,,
41134,6.19 mg/kg/day,6.19,6.19,mg/kg,high,mass_mass,1,day,1,day,,,,,
13295,6.2-12.4 mg/kg/day,6.2,6.2,mg/kg,high,mass_mass,,,1,day,,,,,
52608,6.2.mg/kg/day,6.2,6.2,mg/kg,high,mass_mass,,,1,day,,,,,
3481,6.25 mg/kg/day,6.25,6.25,mg/kg,high,mass_mass,1,day,1,day,,,,,
3838,6.25 mg/kg/day,6.25,6.25,mg/kg,high,mass_mass,1,day,1,day,,,,,
7412,6.25 mg/kg/day,6.25,6.25,mg/kg,high,mass_mass,1,day,1,day,,,,,
12954,6.25 mg/kg/day,6.25,6.25,mg/kg,high,mass_mass,1,day,1,day,,,,,
15510,6.25 mg/kg/day,6.25,6.25,mg/kg,high,mass_mass,1,day,1,day,,,,,
20632,6.25 mg/kg/day,6.25,6.25,mg/kg,high,mass_mass,1,day,1,day,,,,,
31560,6.25 mg/kg/day,6.25,6.25,mg/kg,high,mass_mass,1,day,1,day,,,,,
35971,>6.25 mg/kg/day,6.25,6.25,mg/kg,high,mass_mass,,,1,day,,,,,
37643,6.25 mg/kg/day,6.25,6.25,mg/kg,high,mass_mass,1,day,1,day,,,,,
49817,6.25mg/kg/day,6.25,6.25,mg/kg,high,mass_mass,,,1,day,,,,,
53863,6.25 mg/kg/day,6.25,6.25,mg/kg,high,mass_mass,1,day,1,day,,,,,
53864,6.25mg/kg/day,6.25,6.25,mg/kg,high,mass_mass,,,1,day,,,,,
58317,"6.25 mg/kg/day, from gestation day10, 2D",6.25,6.25,mg/kg,high,mass_mass,,,1,day,,,,,
50662,6.25 mg/kg/day/14D,6.25,6.25,mg/kg,high,mass_mass,,,1,day,,,,,
50663,6.25 mg/kg/day/6D,6.25,6.25,mg/kg,high,mass_mass,,,1,day,,,,,
50659,6.25 mg/kg/day of 48%/14D,6.25,6.25,mg/kg,high,mass_mass,,,1,day,,,,,
50660,6.25 mg/kg/day of 48%/6D,6.25,6.25,mg/kg,high,mass_mass,,,1,day,,,,,
50661,6.25 mg/kg/day of 48%/8D,6.25,6.25,mg/kg,high,mass_mass,,,1,day,,,,,
30273,6.255 mg/kg/day,6.255,6.255,mg/kg,high,mass_mass,1,day,1,day,,,,,
31561,6.26 mg/kg/day,6.26,6.26,mg/kg,high,mass_mass,1,day,1,day,,,,,
24017,6.3 mg/kg/day,6.3,6.3,mg/kg,high,mass_mass,1,day,1,day,,,,,
19632,6.4 mg/kg/day,6.4,6.4,mg/kg,high,mass_mass,1,day,1,day,,,,,
19633,6.4 mg/kg/day,6.4,6.4,mg/kg,high,mass_mass,1,day,1,day,,,,,
19634,6.4 mg/kg/day,6.4,6.4,mg/kg,high,mass_mass,1,day,1,day,,,,,
37614,6.4 mg/kg/day,6.4,6.4,mg/kg,high,mass_mass,1,day,1,day,,,,,
37997,6.4 mg/kg/day,6.4,6.4,mg/kg,high,mass_mass,1,day,1,day,,,,,
45346,6.4 mg/kg/day,6.4,6.4,mg/kg,high,mass_mass,1,day,1,day,,,,,
57444,6.46 mg/kg/day,6.46,6.46,mg/kg,high,mass_mass,1,day,1,day,,,,,
35178,6.5 (base) mg/kg/once daily,6.5,6.5,mg/kg,low,mass_mass,,,1,day,,,,,
3320,6.5 mg/kg/day,6.5,6.5,mg/kg,high,mass_mass,1,day,1,day,,,,,
3321,6.5 mg/kg/day,6.5,6.5,mg/kg,high,mass_mass,1,day,1,day,,,,,
18858,6.5 mg/kg/day,6.5,6.5,mg/kg,high,mass_mass,1,day,1,day,,,,,
18859,6.5 mg/kg/day,6.5,6.5,mg/kg,high,mass_mass,1,day,1,day,,,,,
23291,6.5 mg/kg/day,6.5,6.5,mg/kg,high,mass_mass,1,day,1,day,,,,,
23292,6.5 mg/kg/day,6.5,6.5,mg/kg,high,mass_mass,1,day,1,day,,,,,
23293,6.5-15 mg/kg/day,6.5,6.5,mg/kg,high,mass_mass,,,1,day,,,,,
34604,6.5 mg/kg/day,6.5,6.5,mg/kg,high,mass_mass,1,day,1,day,,,,,
42259,6.5 mg/kg/day,6.5,6.5,mg/kg,high,mass_mass,1,day,1,day,,,,,
47125,6.5 mg/kg/day,6.5,6.5,mg/kg,high,mass_mass,1,day,1,day,,,,,
50934,6.5 mg/kg/day,6.5,6.5,mg/kg,high,mass_mass,1,day,1,day,,,,,
50935,6.5-8.7 mg/kg/day,6.5,6.5,mg/kg,high,mass_mass,,,1,day,,,,,
